Date,Open,High,Low,Close,Volume,OpenInt
1970-01-02,0.6975,0.6975,0.6934,0.6975,1447529,0
1970-01-05,0.6975,0.6975,0.6853,0.6894,1070932,0
1970-01-06,0.6894,0.6975,0.6853,0.6934,1529907,0
1970-01-07,0.6934,0.7016,0.6894,0.6975,1341607,0
1970-01-08,0.6975,0.7056,0.6934,0.7016,1376917,0
1970-01-09,0.7016,0.7056,0.6975,0.6975,859105,0
1970-01-12,0.6975,0.7016,0.6934,0.7016,1729973,0
1970-01-13,0.7056,0.7097,0.7056,0.7097,988557,0
1970-01-14,0.7097,0.7138,0.7056,0.7138,1635825,0
1970-01-15,0.7138,0.722,0.7097,0.722,1270998,0
1970-01-16,0.722,0.7262,0.722,0.722,1706435,0
1970-01-19,0.722,0.7301,0.722,0.7262,1659360,0
1970-01-20,0.7262,0.7301,0.722,0.7301,1800584,0
1970-01-21,0.7301,0.7342,0.7262,0.7301,1212158,0
1970-01-22,0.7301,0.7342,0.7262,0.7301,1447529,0
1970-01-23,0.7262,0.7262,0.7138,0.7138,3824770,0
1970-01-26,0.7097,0.7097,0.7016,0.7056,2283092,0
1970-01-27,0.7056,0.7056,0.6975,0.6975,1565213,0
1970-01-28,0.6975,0.7097,0.6975,0.7097,1565213,0
1970-01-29,0.7056,0.7056,0.6975,0.6975,1318074,0
1970-01-30,0.6975,0.6975,0.6729,0.6729,1494600,0
1970-02-02,0.6729,0.6853,0.6607,0.6772,2553770,0
1970-02-03,0.6812,0.7016,0.6812,0.7016,2094797,0
1970-02-04,0.7016,0.7138,0.7016,0.7016,2247786,0
1970-02-05,0.7016,0.7056,0.6934,0.6975,1800584,0
1970-02-06,0.6975,0.7016,0.6934,0.6975,1741741,0
1970-02-09,0.6975,0.7056,0.6934,0.7056,1706435,0
1970-02-10,0.7056,0.7056,0.6975,0.6975,1635825,0
1970-02-11,0.6975,0.6975,0.6894,0.6975,1506369,0
1970-02-12,0.6975,0.6975,0.6934,0.6934,906177,0
1970-02-13,0.6934,0.6934,0.6853,0.6853,1435756,0
1970-02-16,0.6853,0.6894,0.6812,0.6812,2188944,0
1970-02-17,0.6812,0.6853,0.6812,0.6853,1576982,0
1970-02-18,0.6853,0.6853,0.6812,0.6853,1376917,0
1970-02-19,0.6853,0.6894,0.6812,0.6894,1341607,0
1970-02-20,0.6894,0.6975,0.6853,0.6934,1447529,0
1970-02-24,0.6934,0.6934,0.6894,0.6934,2377241,0
1970-02-25,0.7016,0.7056,0.7016,0.7016,1447529,0
1970-02-26,0.7016,0.7016,0.6934,0.6975,1306305,0
1970-02-27,0.7016,0.7056,0.7016,0.7056,1306305,0
1970-03-02,0.7056,0.7097,0.7056,0.7056,941477,0
1970-03-03,0.7056,0.7097,0.7056,0.7056,1212158,0
1970-03-04,0.7056,0.7178,0.7056,0.7138,1200389,0
1970-03-05,0.7138,0.7178,0.7097,0.7097,1729973,0
1970-03-06,0.7097,0.7138,0.7056,0.7138,2447855,0
1970-03-09,0.7097,0.7097,0.7056,0.7056,1435756,0
1970-03-10,0.7016,0.7016,0.6934,0.6975,1376917,0
1970-03-11,0.6975,0.7016,0.6975,0.6975,1282768,0
1970-03-12,0.6975,0.6975,0.6934,0.6975,1635825,0
1970-03-13,0.6975,0.6975,0.6934,0.6934,812029,0
1970-03-16,0.6934,0.6934,0.6772,0.6812,2647918,0
1970-03-17,0.6812,0.6894,0.6812,0.6894,1400454,0
1970-03-18,0.6894,0.6894,0.6729,0.6729,1871196,0
1970-03-19,0.6729,0.6772,0.6729,0.6772,2483155,0
1970-03-20,0.6772,0.6772,0.6729,0.6729,1706435,0
1970-03-23,0.6729,0.6772,0.6649,0.669,1247463,0
1970-03-24,0.669,0.6729,0.669,0.6729,1800584,0
1970-03-25,0.6772,0.6853,0.6772,0.6772,2906824,0
1970-03-26,0.6772,0.6812,0.6772,0.6812,1635825,0
1970-03-30,0.6812,0.6894,0.6812,0.6853,1270998,0
1970-03-31,0.6812,0.6812,0.6772,0.6812,1365147,0
